DN;ANO;COMPRIMENTO;QTDE.
4º;2013;Acima 26 metros;0
5º;2013;Acima 26 metros;2
6º;2013;Acima 26 metros;0
7º;2013;Acima 26 metros;0
8º;2013;Acima 26 metros;4
9º;2013;Acima 26 metros;9
1º;2014;Acima 26 metros;0
2º;2014;Acima 26 metros;0
3º;2014;Acima 26 metros;0
4º;2014;Acima 26 metros;0
5º;2014;Acima 26 metros;1
6º;2014;Acima 26 metros;0
7º;2014;Acima 26 metros;0
8º;2014;Acima 26 metros;4
9º;2014;Acima 26 metros;2
1º;2015;Acima 26 metros;0
2º;2015;Acima 26 metros;0
3º;2015;Acima 26 metros;0
4º;2015;Acima 26 metros;0
5º;2015;Acima 26 metros;0
6º;2015;Acima 26 metros;0
7º;2015;Acima 26 metros;0
8º;2015;Acima 26 metros;2
9º;2015;Acima 26 metros;4
1º;2016;Acima 26 metros;5
2º;2016;Acima 26 metros;0
3º;2016;Acima 26 metros;0
4º;2016;Acima 26 metros;0
5º;2016;Acima 26 metros;0
6º;2016;Acima 26 metros;0
7º;2016;Acima 26 metros;0
8º;2016;Acima 26 metros;2
9º;2016;Acima 26 metros;2
1º;2017;Acima 26 metros;0
2º;2017;Acima 26 metros;0
3º;2017;Acima 26 metros;0
4º;2017;Acima 26 metros;0
5º;2017;Acima 26 metros;0
6º;2017;Acima 26 metros;0
7º;2017;Acima 26 metros;0
8º;2017;Acima 26 metros;3
9º;2017;Acima 26 metros;4
