DN	UF	COD_EMB	SIGLA OM	QTDE	
7º	MA	31	AGIMPERATRIZ	98	
7º	MA	57	AGIMPERATRIZ	12	
7º	MA	32	AGIMPERATRIZ	1	
7º	MA	33	AGIMPERATRIZ	17	
7º	MA	7	AGIMPERATRIZ	1	
7º	MA	59	AGIMPERATRIZ	2	
7º	MA	34	AGIMPERATRIZ	1	
7º	MA	105	AGIMPERATRIZ	69	
7º	MA	35	AGIMPERATRIZ	1383	
7º	MA	108	AGIMPERATRIZ	729	
7º	MA	37	AGIMPERATRIZ	6	
7º	MA	99	AGIMPERATRIZ	28	
7º	MA	13	AGIMPERATRIZ	9	
7º	MA	63	AGIMPERATRIZ	226	
7º	MA	38	AGIMPERATRIZ	4	
7º	MA	39	AGIMPERATRIZ	1	
7º	MA	41	AGIMPERATRIZ	60	
7º	MA	43	AGIMPERATRIZ	1	
9º	AM	48	AGITACOATIARA	48	
9º	AM	25	AGITACOATIARA	2	
9º	AM	53	AGITACOATIARA	1	
9º	AM	26	AGITACOATIARA	65	
9º	AM	51	AGITACOATIARA	165	
9º	AM	10	AGITACOATIARA	542	
9º	AM	56	AGITACOATIARA	1	
9º	AM	57	AGITACOATIARA	29	
9º	AM	33	AGITACOATIARA	36	
9º	AM	7	AGITACOATIARA	10	
9º	AM	59	AGITACOATIARA	2	
9º	AM	34	AGITACOATIARA	2	
9º	AM	35	AGITACOATIARA	351	
9º	AM	108	AGITACOATIARA	14	
9º	AM	99	AGITACOATIARA	23	
9º	AM	13	AGITACOATIARA	268	
9º	AM	63	AGITACOATIARA	198	
9º	AM	38	AGITACOATIARA	179	
9º	AM	39	AGITACOATIARA	2	
9º	AM	41	AGITACOATIARA	159	
9º	AM	12	AGITACOATIARA	1	
9º	AM	2	AGITACOATIARA	6	
9º	AM	106	AGITACOATIARA	4	
2º	BA	52	AGJUAZEIRO	1	
2º	BA	48	AGJUAZEIRO	34	
2º	BA	25	AGJUAZEIRO	395	
2º	BA	26	AGJUAZEIRO	253	
2º	BA	27	AGJUAZEIRO	1	
2º	BA	54	AGJUAZEIRO	2	
2º	BA	51	AGJUAZEIRO	1718	
2º	BA	10	AGJUAZEIRO	17	
2º	BA	28	AGJUAZEIRO	34	
2º	BA	30	AGJUAZEIRO	1	
2º	BA	31	AGJUAZEIRO	8	
2º	BA	57	AGJUAZEIRO	14	
2º	BA	32	AGJUAZEIRO	2	
2º	BA	33	AGJUAZEIRO	1	
2º	BA	44	AGJUAZEIRO	1	
2º	BA	34	AGJUAZEIRO	104	
2º	BA	105	AGJUAZEIRO	10	
2º	BA	35	AGJUAZEIRO	762	
2º	BA	108	AGJUAZEIRO	585	
